State,President,Prime Minister
China, Xi Jinping
India, Ram Nath Kovind, Narendra Modi
Kazakhstan, Qasym-Zhomart Toqaev, Alikhan Smailov 
Saudi Arabia,  King  Salman, First DeputyMohammed bin Salman
Iran,  Supreme Leader  Ali Khamenei, Hassan Rouhani,
Mongolia, Khaltmaagiin Battulga,  Ukhnaagiin Khürelsükh,Luvsannamsrain Oyun-Erdene
Indonesia, Joko Widodo
Pakistan, Arif Alvi,Shehbaz Sharif
Turkey, Recep Tayyip Erdoğan
Afghanistan, Mohammad Hassan Akhund
Yemen, Abdrabbuh Mansur Hadi,Maeen Abdulmalik Saeed
Turkmenistan, Gurbanguly Berdimuhamedow
Uzbekistan, Shavkat Mirziyoyev,Abdulla Aripov
Iraq, Barham Salih,Mustafa Al-Kadhimi
Malaysia,  Yang di-Pertuan Agong  Abdullah Sultan Ahmad Shah, Muhyiddin Yassin
Oman, Haitham bin Tarik
Philippines, Rodrigo Duterte
Kyrgyzstan, Sadyr Japaro, Chairman of the Cabinet of Ministers  Ulukbek Maripov
Syria, Bashar al-Assad,Hussein Arnous
Bangladesh, Abdul Hamid,Sheikh Hasina
Nepal, Bidhya Devi Bhandari,K. P. Sharma Oli
Tajikistan, Emomali Rahmon,Kokhir Rasulzoda
South Korea, Yoon Suk-yeol,Kim Boo-kyum
United Arab Emirates, Sheikh Khalifa bin Zayed Al Nahyan,Sheikh Mohammed bin Rashid Al Maktoum
Azerbaijan, Ilham Aliyev,Ali Asadov
Georgia, Salome Zourabichvili,Irakli Garibashvili
Sri Lanka, Gotabaya Rajapaksa,Mahinda Rajapaksa
Egypt, Abdel Fattah el-Sisi,Mostafa Madbouly
Bhutan,  King  Jigme Khesar Namgyel Wangchuck,Lotay Tshering
Taiwan, Tsai Ing-wen, Yuan  Su Tseng-chang
Armenia, Armen Sarksyan,Nikol Pashinyan
Israel, Reuven Rivlin, -elect  Isaac Herzog,Naftali Bennett
Kuwait, Emir  Sheikh Nawaf Al-Ahmad Al-Jaber Al-Sabah,Sheikh Sabah Al-Khalid Al-Sabah
Qatar,  Emir  Sheikh Tamim bin Hamad Al Thani,Sheikh Khalid bin Khalifa bin Abdul Aziz Al Thani
Cyprus, Nicos Anastasiades
Palestine, Mahmoud Abbas,Mohammad Shtayyeh
Brunei, Hassanal Bolkiah
Bahrain,  King  Sheikh Hamad bin Isa Al Khalifa,Prince Salman bin Hamad Al Khalifa
Singapore, Halimah Yacob,Lee Hsien Loong
Maldives, Ibrahim Mohamed Solih
Russia, Vladimir Putin,Mikhail Mishustin
Ukraine, Volodymyr Zelensky,Denys Shmyhal
France, Emmanuel Macron,Elisabeth Borne
Germany, Frank-Walter Steinmeier, Federal Chancellor  Angela Merkel
Finland, Sauli Niinistö,Sanna Marin
Poland, Andrzej Duda, Mateusz Morawiecki
Italy, Sergio Mattarella 
Romania, Klaus Iohannis,Florin Cîțu
Belarus, Alexander Lukashenko,Roman Golovchenko
Kazakhstan,  Kazakhstan  Chairman of the Security Council  Nursultan Nazarbayev,
Greece, Katerina Sakellaropoulou,Kyriakos Mitsotakis
Bulgaria, Rumen Radev,Stefan Yanev
Iceland, Guðni Th. Jóhannesson,Katrín Jakobsdóttir
Hungary, János Áder,Viktor Orbán
Portugal, Marcelo Rebelo de Sousa,António Costa
Austria, Alexander Van der Bellen, Federal Chancellor  Sebastian Kurz
Czech Republic, Miloš Zeman,Andrej Babiš
Serbia, Aleksandar Vučić,Ana Brnabić
Ireland, Michael D. Higgins, Taoiseach  Micheál Martin
Lithuania, Gitanas Nausėda,Ingrida Šimonytė
Latvia, Egils Levits,Krišjānis Kariņš
Croatia, Zoran Milanović,Andrej Plenković
Bosnia, and Herzegovina  High representative-designate  Christian Schmidt, Chairman of the Council of Ministers  Zoran Tegeltija
Slovakia, Zuzana Čaputová,Eduard Heger
Estonia, Kersti Kaljulaid,Kaja Kallas
Denmark,  Queen  Margrethe II,Mette Frederiksen
Switzerland, Guy Parmelin
Netherlands,  King  Willem-Alexander,Mark Rutte
Moldova, Maia Sandu, ActingAureliu Ciocoi
Belgium,  King  Philippe,Alexander De Croo
Armenia, Armen Sarksyan,Nikol Pashinyan
Albania, Ilir Meta,Edi Rama
North Macedonia, Stevo Pendarovski,  of the Government  Zoran Zaev
Turkey, Recep Tayyip Erdoğan
Slovenia, Borut Pahor,Robert Golob
Montenegro, Milo Đukanović,Zdravko Krivokapić
Kosovo, Vjosa Osmani,Albin Kurti
Cyprus, Ersin Tatar,Ersan Saner
Luxembourg,  Grand Duke  Henri,Xavier Bettel
Georgia, Salome Zourabichvili,Irakli Garibashvili
Andorra,  Episcopal Co-Prince  Joan Enric Vives i Sicília, Co-Prince’s Representative  Josep Maria Mauri, French Co-Prince  Emmanuel Macron, Co-Prince’s Representative  Patrick Strzoda, Head of Government  Xavier Espot Zamora
Malta, George Vella,Robert Abela
Liechtenstein,  Prince Regnant  Hans-Adam II, Regent  Hereditary Prince Alois, Head of Government  Daniel Risch
San Marino,  Captain Regent  Gian Carlo Venturini, Captain Regent  Marco Nicolini
Monaco,  Sovereign Prince  Albert II, Minister of State  Pierre Dartout
Vatican City,  Sovereign  Pope Francis,  of the Governorate  Cardinal Giuseppe Bertello
United States, Joe Biden
Mexico, Andrés Manuel López Obrador
Canada,  King Charles III, Administrator  Richard Wagner,Justin Trudeau
Guatemala, Alejandro Giammattei
Cuba, Miguel Díaz-Canel,Manuel Marrero Cruz
Haiti, Jovenel Moïse, ActingClaude Joseph
Dominican Republic, Luis Abinader
Honduras, Juan Orlando Hernández
Nicaragua, Daniel Ortega
El Salvador, Nayib Bukele
Costa Rica, Carlos Alvarado Quesada
Panama, Laurentino Cortizo
Jamaica,  King Charles III, Governor-General  Sir Patrick Allen,Andrew Holness
Trinidad and Tobago, Paula-Mae Weekes,Keith Rowley
Brazil, Jair Bolsonaro
Colombia, Iván Duque
Argentina, Alberto Fernández
Peru,of the Council of Ministers  Violeta Bermúdez, InterimFrancisco Sagasti, -elect  Pedro Castillo
Venezuela, Nicolás Maduro
Chile, Gribiel boric Font
Ecuador, Guillermo Lasso
Bolivia, Luis Arce
Paraguay, Mario Abdo Benítez
Uruguay, Luis Lacalle Pou
Guyana, Irfaan Ali,Mark Phillips
Suriname, Chan Santokhi
Fiji, Jioji Konrote,Frank Bainimarama
Micronesia, David W. Panuelo
Nigeria, Muhammadu Buhari
Ethiopia, Sahle-Work Zewde,Abiy Ahmed
Democratic Republic of the Congo, Félix Tshisekedi,Jean-Michel Sama Lukonde
Egypt, Abdel Fattah el-Sisi,Mostafa Madbouly
South Africa, Cyril Ramaphosa
Tanzania, Samia Suluhu Hassan,Kassim Majaliwa
Kenya, Uhuru Kenyatta
Uganda, Yoweri Museveni,Robinah Nabbanja
Algeria, Abdelmadjid Tebboune,Aymen Benabderrahmane
Sudan,  Chairman of the Transitional Sovereignty Council  Abdel Fattah al-Burhan,Vacant
Morocco,  King  Mohammed VI,  of the Government  Aziz Akhannouch
Angola, João Lourenço
Ghana, Nana Akufo-Addo
Cameroon, Paul Biya,Joseph Ngute
Madagascar, Andry Rajoelina,Christian Ntsay
Mozambique, Filipe Nyusi,Carlos Agostinho do Rosário
Ivory Coast, Alassane Ouattara,Patrick Achi
Niger, Mohamed Bazoum,Ouhoumoudou Mahamadou
Burkina Faso, Roch Marc Christian Kaboré,Christophe Joseph Marie Dabiré
Malawi, Lazarus Chakwera
Somalia, Mohamed Abdullahi Mohamed,Mohamed Hussein Roble
Zimbabwe, Emmerson Mnangagwa
Zambia, Hakainde Hichilema
Senegal, Macky Sall
South Sudan, Salva Kiir Mayardit
Rwanda, Paul Kagame,Édouard Ngirente
Guinea,  Mamady Doumbouya, Mohamed Béavogui
Benin, Patrice Talon
Tunisia, Kaïs Saïed,Najla Bouden
Burundi, Évariste Ndayishimiye,Alain-Guillaume Bunyoni
Sierra Leone, Julius Maada Bio, Chief Minister  Jacob Jusu Saffa
Togo, Faure Gnassingbé,Victoire Tomegah Dogbé
Libya, Abdul Hamid Dbeibeh
Republic of the Congo, Denis Sassou Nguesso,Anatole Collinet Makosso
Liberia, George Weah
Central African Republic, Faustin-Archange Touadéra,Henri-Marie Dondra
Mauritania, Mohamed Ould Ghazouani,Mohamed Ould Bilal
Gambia, Adama Barrow
Botswana, Mokgweetsi Masisi
Gabon, Ali Bongo Ondimba,Rose Christiane Raponda
Namibia, Hage Geingob,Saara Kuugongelwa
Guinea-Bissau, Umaro Sissoco Embaló,Nuno Gomes Nabiam
Mauritius, Prithvirajsing Roopun,Pravind Jugnauth
Equatorial, Guinea Teodoro Obiang Nguema Mbasogo,Francisco Pascual Obama Asue
Djibouti, Ismaïl Omar Guelleh,Abdoulkader Kamil Mohamed
Comoros, Azali Assoumani
Cape Verde, José Maria Neves,Ulisses Correia e Silva
São Tomé and Príncipe, Carlos Vila Nova, Jorge Bom Jesus
Seychelles, Wavel Ramkalawan
